Food code,Main food description,Maximum Amount,WWEIA Category number,WWEIA Category description,Minimize,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0(g),6:0(g),8:0(g),10:0(g),12:0(g),14:0(g),16:0(g),18:0(g),16:1(g),18:1(g),20:1(g),22:1(g),18:2(g),18:3(g),18:4 (g),20:4 (g),20:5 n-3(g),22:5 n-3(g),22:6 n-3(g),ALA,Water(g),Omega 3,Omega 6,factor1
75109500,"Chives, raw",None,9999,Not included in a food category,3.27,30,3.27,4.35,1.85,2.5,0.73,0.146,0.095,0.267,0,0,218,0,2612,0,0,323,0.078,0.115,0.647,0.138,0,105,105,105,5.2,0,0,58.1,0,0.21,0,212.7,92,58,42,1.6,0.56,0.157,0.9,296,3,0,0,0,0,0,0,0,0,0.034,0.103,0.009,0,0.095,0,0,0.252,0.015,0,0,0,0,0,0,90.65,0,0.252,-0.252
72130100,"Watercress, raw",None,6411,Other dark green vegetables,2.3,11,2.3,1.29,0.2,0.5,0.1,0.027,0.008,0.035,0,0,160,0,1914,0,0,5767,0.09,0.12,0.2,0.129,0,9,9,9,9,0,0,43,0,1,0,250,120,60,21,0.2,0.11,0.077,0.9,330,41,0,0,0,0,0,0,0,0,0,0.024,0.003,0.002,0.006,0,0,0.012,0.023,0,0,0,0,0,0,95.11,0,0.012,-0.012
41101990,"Black beans, NFS",None,2802,"Beans, peas, legumes",8.23,180,8.23,22.04,0.3,8.1,7.01,1.019,2.768,2.894,0,0,0,0,0,0,0,0,0.215,0.052,0.446,0.061,0,132,132,132,30.3,0,0,0,0,1.57,0,10.7,25,130,65,1.96,1.04,0.194,1.1,330,217,0,0,0,0,0,0,0,0,0,0.755,0.216,0.023,2.717,0.026,0,2.467,0.427,0,0,0,0,0,0,61.1,0,2.467,-2.467
41105990,"Kidney beans, NFS",None,2802,"Beans, peas, legumes",8.06,176,8.06,21.19,0.3,6.9,6.97,0.957,2.761,2.935,0,0,0,0,0,0,0,0,0.141,0.051,0.51,0.106,0,115,115,115,28.4,0,0,1.1,0,0.79,0,15.5,26,132,42,2.74,1,0.225,1.1,375,218,0,0,0,0,0,0,0,0,0,0.694,0.216,0.023,2.709,0.026,0,2.449,0.486,0,0,0,0,0,0,62.21,0,2.449,-2.449
41101090,"White beans, NFS",None,2802,"Beans, peas, legumes",9.04,187,9.04,23.32,0.32,5.9,6.83,0.974,2.753,2.821,0,0,0,0,0,0,0,0,0.104,0.041,0.124,0.082,0,72,72,72,32.6,0,0,0,0,1.64,0,10.9,84,105,59,3.45,1.28,0.267,1.2,521,221,0,0,0,0,0,0,0,0,0,0.713,0.213,0.023,2.702,0.026,0,2.427,0.394,0,0,0,0,0,0,58.63,0,2.427,-2.427
72107100,"Collards, raw",None,6411,Other dark green vegetables,3.02,32,3.02,5.42,0.46,4,0.61,0.055,0.03,0.201,0,0,251,14,2991,28,0,4323,0.054,0.13,0.742,0.165,0,129,129,129,23.2,0,0,35.3,0,2.26,0,437.1,232,25,27,0.47,0.21,0.046,1.3,213,17,0,0,0,0,0,0,0,0.002,0.002,0.046,0.002,0,0.029,0,0,0.082,0.108,0,0.002,0,0,0,0,89.62,0,0.084,-0.084
75102750,"Brussels sprouts, raw",None,6420,Other vegetables and combinations,3.38,43,3.38,8.95,2.2,3.8,0.3,0.062,0.023,0.153,0,0,38,6,450,0,0,1590,0.139,0.09,0.745,0.219,0,61,61,61,19.1,0,0,85,0,0.88,0,177,42,69,23,1.4,0.42,0.07,1.6,389,25,0,0,0,0,0,0.002,0,0,0,0.053,0.003,0.002,0.019,0,0,0.045,0.099,0,0.001,0,0,0,0,86,0,0.046,-0.046
75120000,"Green peas, raw",None,6418,Other starchy vegetables,5.42,81,5.42,14.45,5.67,5.7,0.4,0.071,0.035,0.187,0,0,38,21,449,0,0,2477,0.266,0.132,2.09,0.169,0,65,65,65,28.4,0,0,40,0,0.13,0,24.8,25,108,33,1.47,1.24,0.176,1.8,244,5,0,0,0,0,0,0,0,0,0,0.064,0.007,0,0.035,0,0,0.152,0.035,0,0,0,0,0,0,78.86,0,0.152,-0.152
75100800,"Asparagus, raw",None,6420,Other vegetables and combinations,2.2,20,2.2,3.88,1.88,2.1,0.12,0.04,0,0.05,0,0,38,9,449,0,0,710,0.143,0.141,0.978,0.091,0,52,52,52,16,0,0,5.6,0,1.13,0,41.6,24,52,14,2.14,0.54,0.189,2.3,202,2,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,93.22,0,0.04,-0.04
72201100,"Broccoli, raw",None,6407,Broccoli,2.82,34,2.82,6.64,1.7,2.6,0.37,0.114,0.031,0.112,0,0,31,25,361,1,0,1403,0.071,0.117,0.639,0.175,0,63,63,63,18.7,0,0,89.2,0,0.78,0,101.6,47,66,21,0.73,0.41,0.049,2.5,316,33,0,0,0,0,0,0,0,0,0.002,0.084,0.018,0,0.029,0,0,0.049,0.063,0,0,0,0,0,0,89.3,0,0.049,-0.049
