Food code,Main food description,Maximum Amount,WWEIA Category number,WWEIA Category description,Minimize,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0(g),6:0(g),8:0(g),10:0(g),12:0(g),14:0(g),16:0(g),18:0(g),16:1(g),18:1(g),20:1(g),22:1(g),18:2(g),18:3(g),18:4 (g),20:4 (g),20:5 n-3(g),22:5 n-3(g),22:6 n-3(g),ALA,Water(g),Omega 3,Omega 6,factor1
75111200,"Eggplant, raw",None,6420,Other vegetables and combinations,0.98,25,0.98,5.88,3.53,3,0.18,0.034,0.016,0.076,0,0,1,0,14,0,0,36,0.039,0.037,0.649,0.084,0,22,22,22,6.9,0,0,2.2,0,0.3,0,3.5,9,24,14,0.23,0.16,0.081,0.3,229,2,0,0,0,0,0,0,0,0,0,0.025,0.009,0.002,0.014,0,0,0.063,0.013,0,0,0,0,0,0,92.3,0,0.063,-0.063
75113080,"Lettuce, arugula, raw",None,6410,Lettuce and lettuce salads,2.58,25,2.58,3.65,2.05,1.6,0.66,0.086,0.049,0.319,0,0,119,0,1424,0,0,3555,0.044,0.086,0.305,0.073,0,97,97,97,15.3,0,0,15,0,0.43,0,108.6,160,52,47,1.46,0.47,0.076,0.3,369,27,0,0,0,0,0,0,0,0.003,0,0.072,0.004,0.001,0.046,0,0,0.13,0.17,0,0.002,0,0,0,0,91.71,0,0.132,-0.132
61113010,"Lemon, raw",None,6012,Citrus fruits,1.1,29,1.1,9.32,2.5,2.8,0.3,0.039,0.011,0.089,0,0,1,1,3,20,0,11,0.04,0.02,0.1,0.08,0,11,11,11,5.1,0,0,53,0,0.15,0,0,26,16,8,0.6,0.06,0.037,0.4,138,2,0,0,0,0,0,0,0,0,0.001,0.035,0.002,0.001,0.01,0,0,0.063,0.026,0,0,0,0,0,0,88.98,0,0.063,-0.063
75113000,"Lettuce, raw",None,6410,Lettuce and lettuce salads,1.13,14,1.13,2.92,1.38,1.2,0.14,0.019,0.006,0.078,0,0,198,2,2371,0,0,1004,0.056,0.053,0.249,0.066,0,34,34,34,10.2,0,0,6,0,0.2,0,75.2,27,24,10,0.64,0.16,0.027,0.4,168,19,0,0,0,0,0,0,0,0,0,0.017,0.002,0.002,0.005,0,0,0.022,0.055,0,0,0,0,0,0,95.31,0,0.022,-0.022
75121000,"Pepper, hot chili, raw",None,8406,Mustard and other condiments,1.39,34,1.39,7.66,4.71,2.2,0.4,0.067,0.027,0.176,0,0,51,52,548,72,0,785,0.056,0.078,1.262,0.463,0,25,25,25,9.2,0,0,131.2,0,2.13,0,16.2,13,34,19,0.64,0.2,0.088,0.4,285,6,0,0,0,0.002,0,0,0.001,0.002,0.005,0.042,0.012,0.002,0.024,0,0,0.145,0.03,0,0,0,0,0,0,89.86,0,0.145,-0.145
63105010,"Avocado, raw",None,6420,Other vegetables and combinations,2,160,2,8.53,0.66,6.7,14.66,2.126,9.799,1.816,0,0,7,24,62,28,0,271,0.067,0.13,1.738,0.257,0,81,81,81,14.2,0,0,10,0,2.07,0,21,12,52,29,0.55,0.64,0.19,0.4,485,7,0,0,0,0,0,0.001,0,0,0,2.075,0.049,0.698,9.066,0.025,0,1.674,0.125,0,0,0,0,0,0,73.23,0,1.674,-1.674
75104000,"Cabbage, Chinese, raw",None,6413,Cabbage,1.5,13,1.5,2.18,1.18,1,0.2,0.027,0.015,0.096,0,0,223,1,2681,0,0,40,0.04,0.07,0.5,0.194,0,66,66,66,6.4,0,0,45,0,0.09,0,45.5,105,37,19,0.8,0.19,0.021,0.5,252,65,0,0,0,0,0,0,0,0.001,0.001,0.024,0.001,0,0.015,0,0,0.042,0.055,0,0,0,0,0,0,95.32,0,0.042,-0.042
75117020,"Onions, raw",None,6414,Onions,1.1,40,1.1,9.34,4.24,1.7,0.1,0.042,0.013,0.017,0,0,0,0,1,0,0,4,0.046,0.027,0.116,0.12,0,19,19,19,6.1,0,0,7.4,0,0.02,0,0.4,23,29,10,0.21,0.17,0.039,0.5,146,4,0,0,0,0,0,0,0,0,0.004,0.034,0.004,0,0.013,0,0,0.013,0.004,0,0,0,0,0,0,89.11,0,0.013,-0.013
72116000,"Romaine lettuce, raw",None,6410,Lettuce and lettuce salads,1.36,15,1.36,2.87,0.78,1.3,0.15,0.02,0.006,0.082,0,0,370,0,4443,0,0,1730,0.07,0.08,0.375,0.09,0,38,38,38,13.6,0,0,9.2,0,0.22,0,126.3,36,29,13,0.86,0.18,0.029,0.6,194,28,0,0,0,0,0,0,0,0,0,0.018,0.002,0.002,0.005,0,0,0.024,0.058,0,0,0,0,0,0,94.98,0,0.024,-0.024
75101800,"Green beans, raw",None,6412,String beans,1.83,31,1.83,6.97,3.26,2.7,0.22,0.05,0.01,0.113,0,0,35,69,379,0,0,640,0.082,0.104,0.734,0.141,0,33,33,33,15.3,0,0,12.2,0,0.41,0,43,37,38,25,1.03,0.24,0.069,0.6,211,6,0,0,0,0,0,0,0,0,0,0.042,0.008,0,0.008,0,0,0.044,0.069,0,0,0,0,0,0,90.32,0,0.044,-0.044
75105000,"Cabbage, red, raw",None,6413,Cabbage,1.43,31,1.43,7.37,3.83,2.1,0.16,0.021,0.012,0.08,0,0,56,0,670,0,20,329,0.064,0.069,0.418,0.209,0,18,18,18,17.1,0,0,57,0,0.11,0,38.2,45,30,16,0.8,0.22,0.017,0.6,243,27,0,0,0,0,0,0,0,0.001,0.001,0.019,0.001,0,0.012,0,0,0.034,0.045,0,0.001,0,0,0,0,90.39,0,0.035,-0.035
75107000,"Cauliflower, raw",None,6420,Other vegetables and combinations,1.92,25,1.92,4.97,1.91,2,0.28,0.13,0.034,0.031,0,0,0,0,0,0,0,1,0.05,0.06,0.507,0.184,0,57,57,57,44.3,0,0,48.2,0,0.08,0,15.5,22,44,15,0.42,0.27,0.039,0.6,299,30,0,0,0,0,0,0,0.018,0,0,0.093,0.009,0.003,0.027,0,0,0.016,0.015,0,0,0,0,0,0,92.07,0,0.016,-0.016
